SID,POLICY_TYPE,ISWON,UNDERWRITER,STATE,INDUSTRY,DECLINED_REASON,EFFECTIVE_MONTH,EMPLOYEES,EFFECTIVE_YEAR,MARKET_SEGMENT,PLACING_BROKER,POLICY_LIMIT,COVERAGE,DEDUCTIBLE,PREMIUM,APPLICATION_DATE,BOUND_DATE,EXPIRING_PREMIUM,COMMISSION_PERCENT
SD-EIL-LA-14-438190,New,0,005E00000047VxOIAU,CA,Construction,NULL,Aug,2,2014,NULL,a0kE0000001dL1qIAE,0,Workers Comp,0,0,8/22/2014,,,
SD-EIL-HOU-14-436691,New,0,005E0000003XUbiIAG,CT,Construction,No Broker Response,Aug,6,2014,NULL,a0kE0000001dLJVIA2,0,Workers Comp,0,0,8/19/2014,,,
SD-EIL-LA-14-435178,New,0,005E00000047VxOIAU,GA,Construction,Loss History,Sep,733,2014,Middle Market,a0kE0000001dLgEIAU,0,Workers Comp,0,0,8/12/2014,,,
SD-NRG-ATL-14-435952,New,0,005E0000003XUd7IAG,LA,Construction,NULL,Oct,0,2014,NULL,a0kE0000001dLtrIAE,0,Workers Comp,0,0,8/15/2014,,,
SD-NRG-LA-14-438765,New,0,005E0000003XUaLIAW,CA,Construction,Time Limitations,Oct,95,2014,Middle Market,a0kE0000001dLCBIA2,0,Workers Comp,0,0,8/26/2014,,,
SD-EIL-KC-14-438704,New,0,005E0000003XUczIAG,NC,Construction,No Interest,Oct,20,2014,NULL,a0kE00000033KTJIA2,0,Workers Comp,0,0,8/25/2014,,,
SD-NRG-LA-14-439026,New,0,005E0000003XUaLIAW,AK,Construction,Unable to Match Competitors,Dec,18,2014,Middle Market,a0kE0000001dKlSIAU,0,Workers Comp,0,0,8/26/2014,,,
SD-NRG-DEN-14-456843,New,0,005E000000467BmIAI,NM,Construction,NULL,Dec,150,2014,NULL,a0kE0000001dKjKIAU,0,Workers Comp,0,0,10/27/2014,,,
SD-EIL-HOU-14-464921,New,0,005E0000003XUbiIAG,CT,Construction,NULL,Feb,54,2015,Small Business,a0kE0000001dLKBIA2,1000000,Workers Comp,0,239274,12/1/2014,,,
SD-NRG-HOU-14-443822,New,0,005E0000003XUcfIAG,UT,Construction,NULL,Apr,115,2015,Middle Market,a0kE0000001dL3YIAU,0,Workers Comp,0,0,9/12/2014,,,
SD-EIL-NYC-14-470315,Renewal,1,005E0000003XUbMIAW,NY,Construction,NULL,Dec,43,2014,Middle Market,a0kE0000001dLEyIAM,1000000,Workers Comp,0,121794,12/29/2014,12/29/2014,121390,5
SD-GCS-CHG-14-454102,New,0,005E0000003XUdRIAW,NY,Construction,No Interest,Nov,173,2014,Middle Market,a0kE0000002pzBiIAI,0,Workers Comp,0,0,10/16/2014,,,
SD-NRG-ATL-14-454872,Renewal,1,005E0000003XUd7IAG,GA,Construction,NULL,Jan,300,2015,Middle Market,a0kE0000001dKw8IAE,1000000,Workers Comp,0,321216,10/20/2014,12/23/2014,348038,5
SD-EIL-HOU-14-458249,New,0,005E0000003XUbiIAG,PA,Construction,Nature of Insured's Business,Dec,15,2014,NULL,a0kE0000005vpgEIAQ,0,Workers Comp,0,0,10/31/2014,,,
SD-EIL-NYC-14-445208,New,0,005E0000003XUb2IAG,NY,Construction,NULL,Dec,50,2014,NULL,a0kE0000001dM3mIAE,0,Workers Comp,0,0,9/18/2014,,,
SD-NRG-CHG-14-451887,Renewal,1,005E0000005MrrnIAC,OK,Construction,NULL,Nov,175,2014,Middle Market,a0kE0000001dL2uIAE,1000000,Workers Comp,0,85245,10/9/2014,11/25/2014,67052,5
SD-EIL-PHL-14-456833,New,0,005E0000005OuTLIA0,AL,Construction,Loss History,Dec,8,2014,NULL,a0kE0000001dLJ2IAM,0,Workers Comp,0,0,10/27/2014,,,
SD-EIL-COL-14-461600,Renewal,1,005E0000003XyX8IAK,MI,Construction,NULL,Dec,45,2014,Middle Market,a0kE0000003I3z4IAC,1000000,Workers Comp,0,50762,11/14/2014,12/3/2014,66501,7
SD-NRG-ATL-14-463670,New,0,005E0000003XUd7IAG,AL,Construction,NULL,Jan,42,2015,Middle Market,a0kE0000001dLsCIAU,0,Workers Comp,0,0,11/21/2014,,,
SD-EIL-CHG-14-465169,New,0,005E0000003YmT2IAK,NC,Construction,Nature of Insured's Business,Jan,4,2015,NULL,a0kE0000001dLnuIAE,0,Workers Comp,0,0,12/2/2014,,,
SD-EIL-NYC-14-470799,New,0,005E0000003XUb2IAG,TX,Construction,Nature of Insured's Business,Feb,100,2015,NULL,a0kE0000001dKvzIAE,0,Workers Comp,0,0,12/31/2014,,,
SD-NRG-NYC-14-449930,New,0,005E0000003XUb5IAG,AR,Construction,Reservation Conflict,Dec,507,2014,Middle Market,a0kE00000048B6CIAU,0,Workers Comp,0,0,10/2/2014,,,
SD-EIL-KC-14-464337,New,0,005E0000003XUczIAG,KS,Construction,No Interest,Jan,23,2015,Middle Market,a0kE0000001dL0rIAE,0,Workers Comp,0,0,11/25/2014,,,
SD-EIL-NYC-14-468298,Renewal,1,005E0000003XUbMIAW,NJ,Construction,NULL,Mar,6,2015,Small Business,a0kE0000001yl4NIAQ,1000000,Workers Comp,0,127023,12/15/2014,3/12/2015,91935,7
SD-NRG-LA-14-442203,New,0,005E0000003XUaLIAW,MS,Construction,Auto Close Out,Dec,20,2014,Small Business,a0kE0000001dLCBIA2,0,Workers Comp,0,0,9/8/2014,,,
SD-NRG-HOU-14-464464,New,0,005E00000047yQXIAY,LA,Construction,Unable to Match Competitors,Feb,25,2015,Small Business,a0kE0000001dL7fIAE,0,Workers Comp,0,0,11/25/2014,,,
SD-EIL-KC-14-440868,Renewal,1,005E0000003XUczIAG,OK,Construction,NULL,Nov,8,2014,Small Business,a0kE0000001dMD3IAM,1000000,Workers Comp,0,19017,9/3/2014,11/1/2014,17463,7
SD-EIL-LA-14-470227,New,0,005E0000003Y2B6IAK,CA,Construction,No Broker Response,Jan,20,2015,Middle Market,a0kE0000001dL1qIAE,0,Workers Comp,0,0,12/24/2014,,,
SD-EIL-CHG-14-462280,New,0,005E0000003YmT2IAK,AZ,Construction,Nature of Insured's Business,Feb,25,2015,Small Business,a0kE0000001dL95IAE,0,Workers Comp,0,0,11/18/2014,,,
SD-EIL-HOU-14-456245,New,0,005E0000003XUbNIAW,TX,Construction,NULL,Jan,60,2015,Middle Market,a0kE0000001dLKBIA2,0,Workers Comp,0,0,10/23/2014,,,
SD-NRG-NYC-14-461800,New,0,005E00000047yObIAI,TX,Construction,Below Minimum Premium,Mar,64,2015,Middle Market,a0kE0000005XEtFIAW,0,Workers Comp,0,0,11/14/2014,,,
SD-EIL-DEN-14-466131,New,0,005E0000005Q5zWIAS,IL,Construction,NULL,Jan,12,2015,Small Business,a0kE00000041VYIIA2,1000000,Workers Comp,0,102560,12/4/2014,,,
SD-NRG-HOU-14-442676,New,0,005E0000003XUaQIAW,TX,Construction,Unable to Match Competitors,Nov,92,2014,Middle Market,a0kE0000001dKk7IAE,0,Workers Comp,0,0,9/9/2014,,,
SD-EIL-LA-14-443028,New,0,005E00000047VxOIAU,CA,Construction,No Broker Response,Oct,12,2014,NULL,a0kE0000001dKxTIAU,0,Workers Comp,0,0,9/11/2014,,,
SD-NRG-ATL-14-461665,New,0,005E0000003XUd7IAG,OK,Construction,NULL,Nov,15,2014,NULL,a0kE0000001dKjCIAU,0,Workers Comp,0,0,11/14/2014,,,
SD-NRG-LA-14-451640,New,0,005E0000003XUaLIAW,AZ,Construction,NULL,Dec,124,2014,Middle Market,a0kE0000002p2lEIAQ,0,Workers Comp,0,0,10/9/2014,,,
SD-EIL-PHL-14-451713,Renewal,1,005E0000005OuTLIA0,NJ,Construction,NULL,Nov,20,2014,Small Business,a0kE0000001dLSRIA2,1000000,Workers Comp,0,25080,10/9/2014,11/13/2014,22256,7
SD-EIL-NYC-14-445813,New,1,005E0000003XUbMIAW,NJ,Construction,NULL,Oct,30,2014,Small Business,a0kE0000001dKktIAE,1000000,Workers Comp,0,60309,9/19/2014,10/8/2014,,
SD-EIL-NYC-14-469957,Renewal,0,005E0000003XUbMIAW,NY,Construction,NULL,Mar,25,2015,Small Business,a0kE0000001dLEyIAM,0,Workers Comp,0,0,12/23/2014,,39173,5
SD-NRG-LA-14-458951,New,0,005E0000003XUaLIAW,CA,Construction,NULL,Feb,22,2015,Small Business,a0kE0000001dLBjIAM,1000000,Workers Comp,0,78212,11/4/2014,,,
SD-NRG-HOU-14-461594,New,0,005E0000003YdLZIA0,TX,Construction,Reservation Conflict,Jan,10,2015,NULL,a0kE0000001dLJbIAM,0,Workers Comp,0,0,11/14/2014,,,
SD-NRG-PHL-14-450054,New,0,005E0000003XUbJIAW,MA,Construction,Reservation Conflict,Jan,85,2015,Middle Market,a0kE0000001yl4XIAQ,0,Workers Comp,0,0,10/2/2014,,,
SD-EIL-CHG-14-462091,New,0,005E0000003YmT2IAK,MD,Construction,Unable to Match Competitors,Dec,165,2014,Middle Market,a0kE0000001dLgvIAE,0,Workers Comp,0,0,11/17/2014,,,
SD-NRG-NYC-14-462627,New,0,005E0000003XUb5IAG,NY,Construction,NULL,Nov,2,2014,NULL,a0kE0000001dLyfIAE,0,Workers Comp,0,0,11/19/2014,,,
SD-EIL-LA-15-476504,Renewal,1,005E0000003Y2B6IAK,OH,Construction,NULL,Feb,110,2015,Middle Market,a0kE0000001dLHoIAM,1000000,Workers Comp,0,86084,1/22/2015,2/1/2015,78966,7
SD-NRG-PHL-14-452567,New,0,005E0000003XUbJIAW,MI,Construction,No Broker Response,Dec,4,2014,NULL,a0kE0000001dLTBIA2,0,Workers Comp,0,0,10/10/2014,,,
SD-EIL-LA-14-461246,Renewal,0,005E0000003Y2B6IAK,CA,Construction,No Broker Response,Dec,8,2014,Small Business,a0kE0000001dLHoIAM,0,Workers Comp,0,0,11/13/2014,,38152,7
SD-EIL-COL-14-452362,Renewal,1,005E0000003XyX8IAK,MA,Construction,NULL,Oct,25,2014,Small Business,a0kE0000003YypPIAS,1000000,Workers Comp,0,109690,10/10/2014,10/21/2014,100981,5
SD-NRG-ATL-14-461150,Renewal,1,005E0000003XUd7IAG,LA,Construction,NULL,Jan,40,2015,Small Business,a0kE00000021CDoIAM,1000000,Workers Comp,0,206050,11/12/2014,1/21/2015,206700,5
SD-NRG-LA-14-461207,New,0,005E0000003XUaLIAW,OK,Construction,Time Limitations,Jan,7,2015,Small Business,a0kE0000001dLCBIA2,0,Workers Comp,0,0,11/12/2014,,,
SD-HFC-NYC-14-457467,New,0,005E00000068OfWIAU,MD,Construction,NULL,Nov,69,2014,Middle Market,a0kE0000001dLtEIAU,0,DBA,0,0,10/29/2014,,,
SD-NRG-DEN-14-452880,New,0,005E000000467BmIAI,WY,Construction,Below Minimum Premium,Jan,64,2015,Middle Market,a0kE0000001dLOuIAM,0,Workers Comp,0,0,10/13/2014,,,
SD-NRG-LA-14-461533,New,0,005E0000003XUaLIAW,CA,Construction,Time Limitations,Jan,45,2015,NULL,a0kE0000001dM3AIAU,0,Workers Comp,0,0,11/14/2014,,,
SD-NRG-PHL-15-476666,New,0,005E0000003XUbJIAW,PA,Construction,Reservation Conflict,Mar,10,2015,NULL,a0kE0000001yl4XIAQ,0,Workers Comp,0,0,1/23/2015,,,
SD-EIL-NYC-14-455783,Renewal,0,005E0000003XUb2IAG,NY,Construction,NULL,Nov,5,2014,Small Business,a0kE0000001dLJVIA2,0,Workers Comp,0,0,10/22/2014,,0,7
SD-EIL-COL-14-460735,New,0,005E0000003XyX8IAK,CA,Construction,Loss History,Dec,3,2014,Small Business,a0kE0000003k9nSIAQ,1000000,Workers Comp,0,93507,11/11/2014,,,
SD-EIL-HOU-14-460702,New,0,005E0000003XUbNIAW,GA,Construction,Incomplete Submission,Dec,78,2014,Small Business,a0kE0000005vM7bIAE,0,Workers Comp,0,0,11/11/2014,,,
SD-EIL-HOU-14-443618,Renewal,0,005E0000003XUbNIAW,GA,Construction,NULL,Oct,1,2014,Small Business,a0kE0000004gF5wIAE,500000,Workers Comp,0,9097,9/12/2014,,5165,7
SD-EIL-HOU-14-470592,Renewal,1,005E0000003XUbNIAW,AL,Construction,NULL,Mar,3,2015,Small Business,a0kE0000005vpgEIAQ,1000000,Workers Comp,0,21649,12/30/2014,3/20/2015,32169,7
SD-EIL-NYC-15-470945,Renewal,1,005E0000003XUbMIAW,NY,Construction,NULL,Apr,50,2015,Middle Market,a0kE0000001yl4NIAQ,1000000,Workers Comp,0,184566,1/2/2015,4/1/2015,204796,7
SD-NRG-NYC-14-467184,New,0,005E0000005O15nIAC,PA,Construction,NULL,Jan,160,2015,NULL,a0kE0000001dL47IAE,0,Workers Comp,0,0,12/9/2014,,,
SD-NRG-ATL-14-470536,New,0,005E0000003XUd7IAG,AL,Construction,NULL,Jan,50,2015,NULL,a0kE0000001dLgvIAE,0,Workers Comp,0,0,12/30/2014,,,
SD-EIL-HOU-14-447144,New,0,005E0000003XUbiIAG,OK,Construction,No Broker Response,Oct,2,2014,NULL,a0kE0000001dLJVIA2,0,Workers Comp,0,0,9/24/2014,,,
SD-EIL-HOU-14-466754,New,0,005E0000003XUbNIAW,AL,Construction,Reservation Conflict,Jan,82,2015,Small Business,a0kE0000001dLHVIA2,0,Workers Comp,0,0,12/8/2014,,,
SD-EIL-HOU-14-453913,New,1,005E0000003XUbNIAW,KS,Construction,NULL,Nov,15,2014,Small Business,a0kE0000001dL6TIAU,1000000,Workers Comp,0,11981,10/16/2014,11/3/2014,,7
SD-EIL-CHG-14-453339,New,0,005E0000003YmT2IAK,MO,Construction,Insufficient Information,Nov,4,2014,NULL,a0kE0000001dL95IAE,0,Workers Comp,0,0,10/14/2014,,,
SD-NRG-DEN-14-449365,New,0,005E000000467BmIAI,NM,Construction,Below Minimum Premium,Jan,23,2015,NULL,a0kE0000001dKjKIAU,0,Workers Comp,0,0,10/1/2014,,,
SD-EIL-LA-14-444568,New,0,005E00000047VxOIAU,CA,Construction,Loss History,Sep,35,2014,Small Business,a0kE0000001dLghIAE,0,Workers Comp,0,0,9/16/2014,,,
SD-NRG-HOU-14-443977,New,0,005E00000047yQXIAY,TX,Construction,NULL,Nov,200,2014,Small Business,a0kE0000001dLmuIAE,0,Workers Comp,0,0,9/12/2014,,,
SD-NRG-HOU-14-459474,New,1,005E00000047yObIAI,TX,Construction,NULL,Nov,16,2014,NULL,a0kE0000001dLJbIAM,1000000,Workers Comp,0,99934,11/5/2014,11/7/2014,,
SD-NRG-LA-14-460274,New,0,005E0000003XUaLIAW,WY,Construction,Reservation Conflict,Jan,500,2015,NULL,a0kE0000005WzCYIA0,0,Workers Comp,0,0,11/7/2014,,,
SD-EIL-LA-14-459503,New,0,005E0000003Y2B6IAK,CA,Construction,No Broker Response,Jan,35,2015,NULL,a0kE0000001dLJZIA2,0,Workers Comp,0,0,11/6/2014,,,
SD-NRG-HOU-14-470037,New,1,005E00000080vYwIAI,CA,Construction,NULL,Dec,0,2014,NULL,a0kE0000001dKiOIAU,1000000,Workers Comp,0,84180,12/23/2014,12/31/2014,,
SD-EIL-NYC-14-465149,New,0,005E0000003XUb2IAG,MA,Construction,Reservation Conflict,Dec,65,2014,Middle Market,a0kE0000001dKktIAE,0,Workers Comp,0,0,12/1/2014,,,
SD-NRG-LA-14-452293,New,0,005E0000003XUaLIAW,CA,Construction,Reservation Conflict,Dec,15,2014,Small Business,a0kE0000002p2lEIAQ,0,Workers Comp,0,0,10/10/2014,,,
SD-EIL-NYC-14-464322,New,0,005E0000003XUbMIAW,NY,Construction,Reservation Conflict,Jan,30,2015,Small Business,a0kE0000005vpgEIAQ,0,Workers Comp,0,0,11/25/2014,,,
SD-NRG-LA-14-454115,New,0,005E0000003XUaLIAW,UT,Construction,Nature of Insured's Business,Nov,0,2014,NULL,a0kE00000049BYcIAM,0,Workers Comp,0,0,10/16/2014,,,
SD-NRG-NYC-14-442139,New,0,005E0000003XUdSIAW,KS,Construction,NULL,Oct,200,2014,Middle Market,a0kE0000001dM7VIAU,0,Workers Comp,0,0,9/6/2014,,,
SD-EIL-CHG-14-442880,New,0,005E0000003YmT2IAK,NC,Construction,Unable to Match Competitors,Sep,10,2014,NULL,a0kE0000001dL95IAE,0,Workers Comp,0,0,9/10/2014,,,
SD-NRG-HOU-14-449798,Renewal,1,005E00000080vYwIAI,OK,Construction,NULL,Dec,130,2014,Middle Market,a0kE0000001dM7VIAU,1000000,Workers Comp,0,529050,10/2/2014,12/23/2014,391095,
SD-EIL-CHG-14-456947,New,0,005E0000003YmT2IAK,FL,Construction,Nature of Insured's Business,Nov,95,2014,Middle Market,a0kE0000001dM3CIAU,0,Workers Comp,0,0,10/27/2014,,,
SD-EIL-HOU-14-461314,Renewal,1,005E0000003XUbNIAW,CA,Construction,NULL,Dec,200,2014,Middle Market,a0kE0000001dLBjIAM,1000000,Workers Comp,0,306603,11/13/2014,12/17/2014,242586,
SD-NRG-NYC-14-461939,New,0,005E0000003XUb5IAG,TX,Construction,Incomplete Submission,Jan,4,2015,Small Business,a0kE00000048B6CIAU,0,Workers Comp,0,0,11/17/2014,,,
SD-EIL-LA-14-465476,Renewal,1,005E0000003XUbNIAW,MD,Construction,NULL,Dec,30,2014,Middle Market,a0kE0000001dL95IAE,1000000,Workers Comp,0,131950,12/2/2014,12/24/2014,137501,
SD-NRG-HOU-14-439215,New,0,005E0000003XUcgIAG,MS,Construction,NULL,Oct,50,2014,NULL,a0kE0000001dKzVIAU,1000000,Workers Comp,0,210369,8/27/2014,,,5
SD-EIL-NYC-14-452649,Renewal,1,005E0000003XUbMIAW,NY,Construction,NULL,Jan,5,2015,Small Business,a0kE0000001dLaVIAU,1000000,Workers Comp,0,34521,10/12/2014,1/9/2015,31548,5
SD-EIL-CHG-14-461063,Renewal,0,005E0000003XUhlIAG,IL,Construction,NULL,Dec,0,2014,NULL,a0kE0000001dLyYIAU,0,Workers Comp,0,0,11/12/2014,,431219,
SD-EIL-DEN-14-460836,New,0,005E0000005Q5zWIAS,MD,Construction,Loss History,Dec,58,2014,Middle Market,a0kE00000041VYIIA2,0,Workers Comp,0,0,11/11/2014,,,
SD-NRG-NYC-15-476938,New,0,005E0000003XUb5IAG,MA,Construction,NULL,Mar,50,2015,Small Business,a0kE00000033xRiIAI,0,Workers Comp,0,0,1/26/2015,,,
SD-NRG-HOU-14-446457,New,0,005E0000003XUcfIAG,TX,Construction,Below Minimum Premium,Dec,150,2014,Middle Market,a0kE0000001dKtSIAU,0,Workers Comp,0,0,9/22/2014,,,
SD-EIL-CHG-14-450239,New,0,005E0000003XUhlIAG,WI,Construction,NULL,Jan,75,2015,NULL,a0kE000000567FfIAI,1000000,Workers Comp,0,215168,10/3/2014,,,
SD-NRG-LA-14-462075,New,0,005E0000003XUaLIAW,CA,Construction,Loss History,Dec,115,2014,NULL,a0kE0000001dLJGIA2,0,Workers Comp,0,0,11/17/2014,,,
SD-EIL-NYC-14-470107,New,0,005E0000003XUb2IAG,NY,Construction,NULL,Dec,20,2014,Small Business,a0kE0000001yl4NIAQ,1000000,Workers Comp,0,61709,12/23/2014,,,
SD-NRG-LA-14-451660,New,0,005E0000003XUaLIAW,OK,Construction,Time Limitations,Jan,5,2015,Small Business,a0kE0000001dLCBIA2,0,Workers Comp,0,0,10/9/2014,,,
SD-EIL-LA-14-444199,New,0,005E0000003Y2B6IAK,AL,Construction,No Broker Response,Jan,60,2015,Middle Market,a0kE0000001dKlWIAU,0,Workers Comp,0,0,9/15/2014,,,
SD-EIL-CHG-14-440820,New,0,005E0000003YmT2IAK,MO,Construction,Reservation Conflict,Dec,191,2014,Middle Market,a0kE0000001dLpXIAU,0,Workers Comp,0,0,9/2/2014,,,
SD-EIL-CHG-14-456043,Renewal,1,005E0000003XUhlIAG,IL,Construction,NULL,Dec,0,2014,NULL,a0kE0000001dLyYIAU,1000000,Workers Comp,250000,205502,10/23/2014,11/19/2014,431219,0
SD-EIL-KC-14-457988,New,0,005E0000003XUczIAG,MO,Construction,No Interest,Nov,14,2014,Small Business,a0kE0000001dMD3IAM,0,Workers Comp,0,0,10/30/2014,,,
SD-EIL-HOU-14-461776,New,0,005E0000003XUbiIAG,TX,Construction,Incomplete Submission,Nov,19,2014,NULL,a0kE0000001dL6GIAU,0,Workers Comp,0,0,11/14/2014,,,
SD-NRG-ATL-15-476321,New,0,005E0000003XUd7IAG,AL,Construction,Other Underwriting Guidelines,Apr,75,2015,Middle Market,a0kE0000001dKhcIAE,0,Workers Comp,0,0,1/22/2015,,,
SD-NRG-LA-14-450946,New,0,005E0000003XUaLIAW,CA,Construction,Nature of Insured's Business,Oct,50,2014,Middle Market,a0kE0000001dLCBIA2,0,Workers Comp,0,0,10/7/2014,,,
SD-EIL-CHG-14-460292,New,0,005E0000003YmT2IAK,IA,Construction,Nature of Insured's Business,Jan,11,2015,NULL,a0kE0000001dKrdIAE,0,Workers Comp,0,0,11/7/2014,,,
SD-EIL-HOU-14-439633,New,0,005E0000003XUbNIAW,FL,Construction,NULL,Jan,25,2015,Small Business,a0kE0000001dL2oIAE,1000000,Workers Comp,0,30987,8/28/2014,,,
SD-NRG-CHG-14-446280,New,0,005E0000003XUiyIAG,TX,Construction,No Broker Response,Oct,5,2014,NULL,a0kE0000001dL17IAE,0,Workers Comp,0,0,9/22/2014,,,
SD-NRG-NYC-14-451724,New,0,005E0000003XUbTIAW,OK,Construction,Reservation Conflict,Jan,5,2015,Small Business,a0kE0000001dKrbIAE,0,Workers Comp,0,0,10/9/2014,,,
SD-NRG-LA-15-582172,New,0,005E0000003XUi4IAG,CA,Construction,Nature of Insured's Business,Feb,40,2016,NULL,a0kE0000001dLBjIAM,0,Workers Comp,0,0,11/10/2015,,,
SD-NRG-ATL-15-471136,New,0,005E0000003XUd7IAG,LA,Construction,Loss History,Feb,4,2015,Small Business,a0kE0000001dLtrIAE,0,Workers Comp,0,0,1/5/2015,,,
SD-NRG-DEN-14-457004,New,0,005E000000467BmIAI,NM,Construction,Unable to Match Competitors,Dec,150,2014,NULL,a0kE0000001dKjKIAU,0,Workers Comp,0,0,10/28/2014,,,
SD-NRG-HOU-14-458519,New,0,005E00000047yQXIAY,TX,Construction,NULL,Feb,99,2015,Middle Market,a0kE0000001dKk7IAE,0,Workers Comp,0,0,11/3/2014,,,
SD-EIL-LA-14-470289,Renewal,1,005E0000003Y2B6IAK,CA,Construction,NULL,Mar,24,2015,Middle Market,a0kE0000001dLOLIA2,1000000,Workers Comp,0,78595,12/29/2014,3/27/2015,0,7
SD-EIL-COL-14-465196,New,0,005E0000003XyX8IAK,NH,Construction,Loss History,Jan,20,2015,Small Business,a0kE0000003YypPIAS,0,Workers Comp,0,0,12/2/2014,,,
SD-NRG-HOU-14-453825,New,0,005E0000003XUcfIAG,TX,Construction,Unable to Match Competitors,Dec,2700,2014,NULL,a0kE00000056Q9NIAU,0,Workers Comp,0,0,10/15/2014,,,
SD-NRG-HOU-14-460887,New,0,005E0000003XUcgIAG,TX,Construction,Unable to Match Competitors,Dec,60,2014,Middle Market,a0kE0000001dKwWIAU,0,Workers Comp,0,0,11/11/2014,,,
SD-EIL-PHL-14-443234,New,1,005E0000005OuTLIA0,NJ,Construction,NULL,Nov,8,2014,Small Business,a0kE0000005vNy3IAE,1000000,Workers Comp,0,51089,9/11/2014,10/29/2014,,7
SD-EIL-COL-14-448336,New,0,005E0000003XyX8IAK,PA,Construction,No Broker Response,Nov,10,2014,Small Business,a0kE0000001dM96IAE,0,Workers Comp,0,0,9/29/2014,,,
SD-EIL-NYC-14-463668,New,0,005E0000003XUb2IAG,NY,Construction,Nature of Insured's Business,Jan,20,2015,Small Business,a0kE0000001dLRIIA2,0,Workers Comp,0,0,11/21/2014,,,
SD-EIL-NYC-14-462685,New,0,005E0000003XUb2IAG,CT,Construction,Nature of Insured's Business,Jan,12,2015,NULL,a0kE0000001dL95IAE,0,Workers Comp,0,0,11/19/2014,,,
SD-EIL-KC-14-466262,New,0,005E0000003XUczIAG,IL,Construction,Nature of Insured's Business,Dec,100,2014,Middle Market,a0kE0000001dL0rIAE,0,Workers Comp,0,0,12/5/2014,,,
SD-NRG-HOU-15-471683,New,1,005E0000003XUcfIAG,TX,Construction,NULL,Feb,1400,2015,Middle Market,a0kE0000001dLH2IAM,0,Workers Comp,0,524919,1/7/2015,2/28/2015,,7.5
SD-NRG-LA-14-461814,New,0,005E0000003XUaLIAW,CA,Construction,NULL,Dec,83,2014,NULL,a0kE0000001dKoOIAU,1000000,Workers Comp,0,198393,11/14/2014,,,
SD-EIL-HOU-15-471215,New,0,005E0000003XUbNIAW,TX,Construction,Insufficient Information,Mar,12,2015,Small Business,a0kE0000001dKlIIAU,0,Workers Comp,0,0,1/5/2015,,,
SD-EIL-LA-15-471401,New,0,005E0000003Y2B6IAK,AZ,Construction,No Broker Response,Feb,35,2015,Small Business,a0kE0000001dL1qIAE,0,Workers Comp,0,0,1/6/2015,,,
SD-EIL-PHL-14-448270,New,0,005E0000005OuTLIA0,PA,Construction,Nature of Insured's Business,Dec,11,2014,NULL,a0kE0000001dLe6IAE,0,Workers Comp,0,0,9/29/2014,,,
SD-EIL-NYC-14-450162,Renewal,1,005E0000003XUbMIAW,NY,Construction,NULL,Jan,21,2015,Small Business,a0kE0000001yl4NIAQ,1000000,Workers Comp,0,138213,10/3/2014,12/22/2014,138213,7
SD-EIL-KC-14-459715,New,0,005E0000003XUczIAG,MI,Construction,Nature of Insured's Business,Jan,45,2015,NULL,a0kE0000001dM3BIAU,0,Workers Comp,0,0,11/6/2014,,,
SD-NRG-HOU-14-455963,New,0,005E0000003XUcfIAG,TX,Construction,Reservation Conflict,Feb,6,2015,Small Business,a0kE0000001dL9ZIAU,0,Workers Comp,0,0,10/22/2014,,,
SD-EIL-KC-14-461728,New,0,005E0000003XUczIAG,NY,Construction,Loss History,Jan,10,2015,Small Business,a0kE0000001dL0rIAE,0,Workers Comp,0,0,11/14/2014,,,
SD-NRG-NYC-15-471626,New,0,005E0000003XUb5IAG,NY,Construction,Nature of Insured's Business,Jan,90,2015,NULL,a0kE00000041uRmIAI,0,Workers Comp,0,0,1/6/2015,,,
SD-EIL-HOU-14-456280,Renewal,1,005E0000003XUbNIAW,TX,Construction,NULL,Jan,60,2015,Middle Market,a0kE0000001dLKBIA2,1000000,Workers Comp,0,234216,10/23/2014,12/31/2014,0,7
SD-EIL-CHG-14-449461,New,0,005E0000003YmT2IAK,MD,Construction,Insufficient Information,Nov,20,2014,NULL,a0kE0000001dL95IAE,0,Workers Comp,0,0,10/1/2014,,,
SD-EIL-LA-14-465201,Renewal,1,005E0000003Y2B6IAK,CA,Construction,NULL,Dec,25,2014,Small Business,a0kE0000001dL1qIAE,1000000,Workers Comp,0,77821,12/2/2014,12/17/2014,74761,7
SD-NRG-LA-14-449400,New,0,005E0000003XUaLIAW,WY,Construction,Reservation Conflict,Jan,500,2015,NULL,a0kE0000001dLCBIA2,0,Workers Comp,0,0,10/1/2014,,,
SD-NRG-HOU-14-445401,New,0,005E00000047yQXIAY,MO,Construction,Unable to Match Competitors,Nov,250,2014,NULL,a0kE0000001dL1PIAU,0,Workers Comp,0,0,9/18/2014,,,
SD-NRG-HOU-14-441686,New,0,005E0000003XUcgIAG,LA,Construction,Unable to Match Competitors,Sep,200,2014,Middle Market,a0kE0000001dLlcIAE,0,Workers Comp,0,0,9/4/2014,,,
SD-EIL-HOU-14-462629,New,0,005E0000003XUbiIAG,NV,Construction,Reservation Conflict,Jan,50,2015,Small Business,a0kE0000005vpgEIAQ,0,Workers Comp,0,0,11/19/2014,,,
SD-NRG-LA-14-467019,New,0,005E0000003XUaLIAW,OK,Construction,Insufficient Information,Feb,45,2015,NULL,a0kE0000001dLCBIA2,0,Workers Comp,0,0,12/9/2014,,,
